City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,urzhar,47.093,81.6294,13.38,40,9,2.41,KZ,1727209780
241,constantia,44.1833,28.65,16.5,75,21,3.41,RO,1727209781
242,ambon,-3.6954,128.1814,25.49,95,40,3.6,ID,1727209782
243,yuzhno-kurilsk,44.0306,145.8556,11.75,81,5,4.26,RU,1727209783
244,hithadhoo,-0.6,73.0833,28.23,74,71,5.63,MV,1727209784
245,shimoda,34.6667,138.95,18.73,82,54,8.79,JP,1727209786
246,amlapura,-8.45,115.6167,23.09,89,34,1.95,ID,1727209787
247,rikaze,29.25,88.8833,10.7,63,99,1.58,CN,1727209788
248,guatire,10.4762,-66.5427,26.79,81,100,1.45,VE,1727209791
249,susuman,62.7833,148.1667,-3.6,67,28,1.92,RU,1727209792
250,zhumysker,49.3333,49.4,11.9,34,77,5.54,KZ,1727209793
251,haiku-pauwela,20.9219,-156.3051,28.47,69,22,11.18,US,1727209796
252,novyy urgal,51.0736,132.5642,9.44,88,100,2.41,RU,1727209797
253,myrina,39.8797,25.0742,15.58,63,0,0.0,GR,1727209798
254,lagoa,39.05,-27.9833,22.71,90,100,13.71,PT,1727209800
255,tommot,58.9564,126.2925,3.65,94,22,1.17,RU,1727209801
256,alexandria,31.2156,29.9553,24.64,63,0,3.72,EG,1727209802
257,port blair,11.6667,92.75,26.02,94,75,1.03,IN,1727209803
258,aykhal,66.0,111.5,2.52,88,65,6.04,RU,1727209805
259,viveiro,43.6623,-7.5934,16.8,82,100,2.75,ES,1727209806
260,abepura,-2.6333,140.5833,24.45,94,40,0.51,ID,1727209807
261,weiser,44.251,-116.9693,29.62,32,6,2.68,US,1727209808
262,basco,20.4487,121.9702,28.62,77,100,0.4,PH,1727209810
263,calatayud,41.3535,-1.6432,18.46,46,96,4.67,ES,1727209811
264,abaete,-19.16,-45.4458,30.17,24,1,1.7,BR,1727209812
265,fort mcmurray,56.7268,-111.381,22.77,37,100,8.75,CA,1727209526
266,scituate,42.1959,-70.7259,17.49,85,75,4.63,US,1727209814
267,san luis de la loma,17.2706,-100.8939,27.24,77,100,1.52,MX,1727209815
268,ararat,39.8317,44.7049,20.48,35,94,1.41,AM,1727209817
269,okhotsk,59.3833,143.3,3.75,44,41,2.63,RU,1727209818
270,kuta,-8.7233,115.1723,24.97,94,20,1.03,ID,1727209819
271,antalaha,-14.9003,50.2788,22.71,70,58,3.16,MG,1727209820
272,shibukawa,36.4833,139.0,15.03,86,100,0.89,JP,1727209823
273,assab,13.0092,42.7394,31.0,77,42,6.76,ER,1727209824
274,moose jaw,50.4001,-105.5344,27.15,26,20,6.69,CA,1727209825
275,jose maria morelos,30.8066,-112.684,38.46,17,0,4.23,MX,1727209827
276,saynshand,44.8824,110.1163,11.67,67,1,1.26,MN,1727209828
277,salalah,17.0151,54.0924,25.72,79,12,1.26,OM,1727209829
278,weno,7.4515,151.8468,27.97,83,100,4.12,FM,1727209830
279,ad dabbah,18.05,30.95,34.01,21,0,6.6,SD,1727209831
280,demre,36.2537,29.9777,19.98,61,0,1.76,TR,1727209832
281,sumbe,-11.2061,13.8437,22.17,87,99,4.66,AO,1727209834
282,minas de marcona,-15.2119,-75.1103,15.07,65,0,8.36,PE,1727209835
283,gobabis,-22.45,18.9667,20.67,37,97,0.97,NA,1727209836
284,mogocha,53.7333,119.7667,4.36,89,3,0.41,RU,1727209837
285,marsa alam,25.0757,34.8918,28.53,51,0,3.73,EG,1727209839
286,at taj,24.2049,23.2857,29.99,30,0,5.19,LY,1727209840
287,tabas,33.5959,56.9244,32.12,10,0,2.06,IR,1727209792
288,mbanza-ngungu,-5.25,14.8667,22.8,80,100,1.03,CD,1727209842
289,deuchendorf,47.4649,15.3196,12.94,90,100,0.7,AT,1727209844
290,midelt,32.6852,-4.7451,19.4,53,12,4.29,MA,1727209845
291,kirakira,-10.4544,161.9205,27.42,80,18,4.27,SB,1727209846
292,mugia,43.1041,-9.2179,17.73,94,100,5.03,ES,1727209847
293,mandalgarh,25.2,75.1,27.13,65,37,0.38,IN,1727209849
294,egersund,58.4513,5.9997,11.95,89,100,1.47,NO,1727209850
295,tazacorte,28.629,-17.9293,22.54,89,75,5.66,ES,1727209851
296,nacala,-14.5428,40.6728,23.62,73,20,4.63,MZ,1727209853
297,ar ruways,24.1103,52.7306,31.95,59,0,4.11,AE,1727209855
298,gemena,3.25,19.7667,21.63,98,100,0.63,CD,1727209856
299,cabedelo,-6.9811,-34.8339,26.37,81,14,6.1,BR,1727209857
300,novo aripuana,-5.1206,-60.3797,29.14,55,98,1.39,BR,1727209858
301,katsuura,35.1333,140.3,22.01,73,100,10.01,JP,1727209860
302,utrik,11.2278,169.8474,28.23,76,78,3.25,MH,1727209861
303,yallahs,17.8748,-76.5624,31.85,83,100,3.51,JM,1727209862
304,brush,40.2589,-103.6238,23.57,35,100,3.6,US,1727209803
305,bela,25.9333,81.9833,26.24,84,99,2.67,IN,1727209864
306,buka,40.8108,69.1986,18.56,28,0,1.75,UZ,1727209866
307,andrews,32.3187,-102.5457,31.15,47,0,1.85,US,1727209867
308,kulhudhuffushi,6.6221,73.07,28.35,78,93,8.73,MV,1727209868
309,fortuna,40.5982,-124.1573,23.51,60,20,3.6,US,1727209869
310,enewetak,11.3474,162.3373,28.87,75,94,5.33,MH,1727209871
311,el granada,37.5027,-122.4694,29.36,50,0,6.17,US,1727209872
312,bratsk,56.1325,101.6142,4.27,87,100,5.56,RU,1727209873
313,bentiu,9.2333,29.8333,22.55,83,40,1.83,SS,1727209874
314,mangalia,43.8,28.5833,19.59,77,13,2.62,RO,1727209876
315,alaghsas,17.0187,8.0168,35.99,15,6,3.34,NE,1727209878
316,chibougamau,49.9168,-74.3659,14.79,88,100,4.12,CA,1727209879
317,faya-largeau,17.9257,19.1043,36.56,18,6,3.84,TD,1727209881
318,paphos,34.7667,32.4167,22.88,68,0,2.06,CY,1727209882
319,vila franca do campo,37.7167,-25.4333,24.23,89,76,5.86,PT,1727209883
320,sorong,-0.8833,131.25,25.54,86,86,2.56,ID,1727209884
321,mata-utu,-13.2816,-176.1745,26.94,78,30,5.48,WF,1727209886
322,cuatro cienegas de carranza,26.9833,-102.0833,31.73,33,0,4.72,MX,1727209887
323,broome,42.2506,-75.833,17.01,67,100,4.63,US,1727209888
324,darab,28.7519,54.5444,27.29,18,5,0.69,IR,1727209889
325,nyurba,63.2842,118.3319,8.73,87,100,3.3,RU,1727209892
326,antigonish,45.6169,-61.9986,16.75,80,100,1.79,CA,1727209893
327,lisakovsk,52.5369,62.4936,5.06,62,9,2.8,KZ,1727209894
328,illizi,26.4833,8.4667,34.15,20,91,1.58,DZ,1727209896
329,jayapura,-2.5333,140.7,24.66,91,92,0.3,ID,1727209742
330,kermit,31.8576,-103.0927,28.91,51,0,1.54,US,1727209898
331,balikpapan,-1.2675,116.8289,25.56,90,95,1.93,ID,1727209899
332,mkushi,-13.6202,29.3939,18.08,53,0,3.38,ZM,1727209900
333,prince albert,53.2001,-105.7677,24.97,38,20,7.2,CA,1727209902
334,sambalpur,21.45,83.9667,25.13,92,100,1.25,IN,1727209903
335,fortaleza,-3.7227,-38.5247,27.07,74,20,5.66,BR,1727209356
336,tibanbang,6.6315,126.1055,26.33,80,100,1.55,PH,1727209906
337,chernushka,56.5072,56.0766,2.88,62,15,1.44,RU,1727209907
338,green cove springs,29.9919,-81.6781,32.81,59,7,0.89,US,1727209908
339,nabire,-3.3667,135.4833,22.86,87,78,1.38,ID,1727209909
340,kencong,-8.2833,113.3667,23.59,90,28,1.21,ID,1727209910
341,nova vicosa,-17.8919,-39.3719,25.26,71,0,5.67,BR,1727209742
342,egilsstadir,65.2653,-14.3948,1.95,87,100,2.06,IS,1727209913
343,lihue,21.9789,-159.3672,27.98,68,20,6.69,US,1727209914
344,dezhou,37.4486,116.2925,16.05,72,11,2.61,CN,1727209915
345,juan griego,11.0817,-63.9655,39.07,39,19,4.63,VE,1727209804
346,pirot,43.1531,22.5861,15.11,74,40,1.24,RS,1727209919
347,alice springs,-23.7,133.8833,16.75,100,75,0.0,AU,1727209920
348,del rio,29.3627,-100.8968,35.06,43,0,4.63,US,1727209921
349,conception bay south,47.4999,-52.9981,11.97,89,100,6.31,CA,1727209924
350,tughyl,47.7252,84.2063,11.16,53,70,5.86,KZ,1727209925
351,riohacha,11.5444,-72.9072,32.06,70,20,3.6,CO,1727209926
352,hadibu,12.65,54.0333,25.55,82,43,6.27,YE,1727209927
353,loch garman,52.3342,-6.4575,13.27,100,100,2.24,IE,1727209928
